city,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Cost of Living Index,Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
amsterdam,Netherlands,208.1,153.3,69.9,75.0,8.8,23.4,27.6,87.5,82.6,60.0,71.5,91.8,129.9
athens,Greece,131.0,71.7,44.8,58.5,13.7,37.2,55.5,95.2,57.9,18.2,55.1,62.9,66.1
barcelona,Spain,153.7,105.4,48.0,76.7,11.9,29.8,63.3,95.7,59.2,36.0,56.0,63.8,95.1
berlin,Germany,178.0,138.7,55.5,66.5,10.3,33.2,38.4,83.3,70.0,36.2,63.0,68.1,126.1
budapest,Hungary,142.4,91.3,66.2,52.2,14.4,38.8,52.9,78.4,51.1,20.3,47.8,50.5,84.9
lisbon,Portugal,155.1,68.5,67.1,72.4,20.0,34.6,37.2,98.6,54.2,38.6,50.1,53.1,60.9
london,United Kingdom,145.2,127.9,44.5,69.6,15.4,44.6,57.9,88.3,87.5,70.1,68.9,89.7,117.5
paris,France,169.8,121.5,44.2,77.0,8.6,34.4,43.5,89.6,78.6,43.5,77.9,75.2,118.0
rome,Italy,148.9,91.8,52.9,64.8,15.1,35.2,48.6,93.7,63.4,34.9,64.9,63.5,84.3
vienna,Austria,199.8,123.2,71.5,78.9,9.9,23.2,20.4,76.6,73.9,29.6,74.0,75.0,133.5
